date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,demand_source,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment,is_order_day,optimal_replenishment_pallet,optimal_replenishment_box,arrival_qty_box,ending_inventory_box,stockout_qty_box,holding_cost,stockout_cost,unit_transport_cost,target_replenishment_pallet,target_replenishment_box
2019-01-04,DC001,SKU001,4.0,4.0,2.0,1.3333333333333333,2.8674417556808756,14.0,40.0,7.199999999999999,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU002,4.0,4.0,7.857142857142857,4.3,8.873744042586159,55.0,129.0,27.159999999999997,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,82.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU005,4.0,4.0,5.857142857142857,12.9,22.05802952819373,41.0,387.0,31.88,5.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,49.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU006,1.0,1.0,107.42857142857143,86.3,88.09848655529409,752.0,2589.0,101.09,84.0,rolling_proxy,1299.0,181978.71,28222.0,224.0,70.0,0.6,159000.0,161000.0,0.0,1,0,0.0,0.0,594.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU008,2.0,2.0,18.142857142857142,21.6,30.07280055687088,127.0,648.0,38.36,19.0,rolling_proxy,0.0,181978.71,84.0,224.0,70.0,0.6,159000.0,161000.0,70.0,1,1,70.0,0.0,0.0,17.0,3.36,336.0,224.0,1.0,70.0
2019-01-04,DC001,SKU009,6.0,6.0,20.428571428571427,26.233333333333334,32.917759475530666,143.0,787.0,133.01999999999998,244.0,rolling_proxy,298.0,181978.71,0.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,255.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU011,3.0,3.0,54.42857142857143,49.63333333333333,70.03974268624604,381.0,1489.0,158.97,216.0,rolling_proxy,424.0,181978.71,1699.0,224.0,50.0,1.2,159000.0,161000.0,200.0,1,4,200.0,0.0,47.0,0.0,3.36,336.0,224.0,4.0,200.0
2019-01-04,DC001,SKU012,3.0,3.0,14.428571428571429,18.8,30.246101677185884,101.0,564.0,47.22,73.0,rolling_proxy,192.0,181978.71,0.0,224.0,130.0,0.5,159000.0,161000.0,130.0,1,1,130.0,0.0,50.0,0.0,3.36,336.0,224.0,1.0,130.0
2019-01-04,DC001,SKU013,4.0,4.0,28.857142857142858,17.833333333333332,44.20865928249302,202.0,535.0,102.19999999999999,75.0,rolling_proxy,0.0,181978.71,0.0,224.0,187.0,0.426,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU015,3.0,3.0,15.714285714285714,12.2,20.148449071826843,110.0,366.0,43.98,14.0,rolling_proxy,136.0,181978.71,0.0,224.0,48.0,2.0,159000.0,161000.0,0.0,1,0,0.0,0.0,14.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU016,5.0,5.0,68.0,76.33333333333333,70.75795989773087,476.0,2290.0,352.5,526.0,rolling_proxy,1927.0,181978.71,6650.0,224.0,56.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,1457.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU017,5.0,5.0,1.5714285714285714,1.0666666666666667,2.5681813712344295,11.0,32.0,7.1,10.0,rolling_proxy,36.0,181978.71,27.0,224.0,42.0,0.99,159000.0,161000.0,0.0,1,0,0.0,0.0,36.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU019,6.0,6.0,1167.0,1512.8666666666666,1201.2111314095546,8169.0,45386.0,7624.5599999999995,7068.0,rolling_proxy,12176.0,181978.71,7942.0,224.0,42.0,0.99,159000.0,161000.0,3276.0,1,78,3276.0,0.0,4090.0,0.0,3.36,336.0,224.0,78.0,3276.0
2019-01-04,DC001,SKU022,4.0,4.0,1172.5714285714287,1292.6,1050.3355844681262,8208.0,38778.0,4834.32,3648.0,rolling_proxy,9102.0,181978.71,3196.0,224.0,36.0,2.0,159000.0,161000.0,4392.0,1,122,4392.0,0.0,942.0,0.0,3.36,336.0,224.0,122.0,4392.0
2019-01-04,DC001,SKU023,3.0,3.0,3960.0,4417.166666666667,3385.7658521456488,27720.0,132515.0,12291.449999999999,7292.0,rolling_proxy,35989.0,181978.71,127214.0,224.0,36.0,1.0,159000.0,161000.0,15732.0,1,437,15732.0,0.0,11970.0,0.0,3.36,336.0,224.0,437.0,15732.0
2019-01-04,DC001,SKU024,3.0,3.0,39.57142857142857,37.266666666666666,40.878627939575246,277.0,1118.0,116.63999999999999,112.0,rolling_proxy,51.0,181978.71,0.0,224.0,30.0,1.28,159000.0,161000.0,30.0,1,1,30.0,0.0,0.0,28.0,3.36,336.0,224.0,1.0,30.0
2019-01-04,DC001,SKU025,1.0,1.0,632.2857142857143,599.9,466.5589173227035,4426.0,17997.0,622.57,276.0,rolling_proxy,3999.0,181978.71,0.0,224.0,60.0,0.768,159000.0,161000.0,1260.0,1,21,1260.0,0.0,0.0,289.0,3.36,336.0,224.0,21.0,1260.0
2019-01-04,DC001,SKU026,2.0,2.0,10.142857142857142,12.633333333333333,17.566034144210114,71.0,379.0,21.779999999999998,29.0,rolling_proxy,32.0,181978.71,0.0,224.0,60.0,0.768,159000.0,161000.0,60.0,1,1,60.0,0.0,0.0,3.0,3.36,336.0,224.0,1.0,60.0
2019-01-04,DC001,SKU027,3.0,3.0,0.0,4.966666666666667,12.79709168348635,0.0,149.0,4.47,0.0,rolling_proxy,108.0,181978.71,2971.0,224.0,42.0,0.99,159000.0,161000.0,0.0,1,0,0.0,0.0,61.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU029,3.0,3.0,864.1428571428571,817.5666666666667,419.13296882440017,6049.0,24527.0,2550.5099999999998,2254.0,rolling_proxy,18193.0,181978.71,74536.0,224.0,56.0,1.2,159000.0,161000.0,0.0,1,0,0.0,0.0,12774.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU030,2.0,2.0,0.2857142857142857,0.16666666666666666,0.6368324391514268,2.0,5.0,0.49999999999999994,0.0,rolling_proxy,0.0,181978.71,3007.0,224.0,48.0,0.792,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU031,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rolling_proxy,0.0,181978.71,0.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,-0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU032,3.0,3.0,113.0,149.53333333333333,146.20071439253945,791.0,4486.0,371.88,259.0,rolling_proxy,1986.0,181978.71,46430.0,224.0,42.0,0.99,159000.0,161000.0,294.0,1,7,294.0,0.0,928.0,0.0,3.36,336.0,224.0,7.0,294.0
2019-01-04,DC001,SKU034,6.0,6.0,80.28571428571429,67.73333333333333,51.45867813649662,562.0,2032.0,459.12000000000006,419.0,rolling_proxy,768.0,181978.71,5467.0,224.0,48.0,0.792,159000.0,161000.0,144.0,1,3,144.0,0.0,361.0,0.0,3.36,336.0,224.0,3.0,144.0
2019-01-04,DC001,SKU036,1.0,1.0,62.857142857142854,58.766666666666666,68.8934846137298,440.0,1763.0,61.629999999999995,0.0,rolling_proxy,440.0,181978.71,11044.0,224.0,80.0,0.852,159000.0,161000.0,480.0,1,6,480.0,0.0,54.0,0.0,3.36,336.0,224.0,6.0,480.0
