date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,demand_source,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment,is_order_day,optimal_replenishment_pallet,optimal_replenishment_box,arrival_qty_box,ending_inventory_box,stockout_qty_box,holding_cost,stockout_cost,unit_transport_cost,target_replenishment_pallet,target_replenishment_box
2019-01-04,DC001,SKU001,4.0,4.0,2.0,1.3333333333333333,2.8674417556808756,14.0,40.0,7.199999999999999,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU002,4.0,4.0,7.857142857142857,4.3,8.873744042586159,55.0,129.0,27.159999999999997,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,82.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-04,DC001,SKU005,4.0,4.0,5.857142857142857,12.9,22.05802952819373,41.0,387.0,31.88,5.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,49.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-07,DC001,SKU001,1.0,1.0,2.0,1.3333333333333333,2.867441755680875,14.0,40.0,1.7999999999999998,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-07,DC001,SKU002,3.0,3.0,7.857142857142857,3.2,7.119925093238927,55.0,96.0,19.379999999999995,10.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,82.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-07,DC001,SKU005,2.0,2.0,11.857142857142858,13.1,22.292524905597094,83.0,393.0,24.46,47.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,72.0,1,2,72.0,0.0,49.0,0.0,3.36,336.0,224.0,2.0,72.0
2019-01-11,DC001,SKU001,6.0,6.0,0.0,1.2,2.83313724811677,0.0,36.0,2.16,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-11,DC001,SKU002,2.0,2.0,1.4285714285714286,3.3666666666666667,7.217956004915027,10.0,101.0,4.02,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,72.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-11,DC001,SKU005,3.0,3.0,18.571428571428573,15.7,23.117309532036806,130.0,471.0,53.13,0.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,0.0,3.0,3.36,336.0,224.0,0.0,0.0
2019-01-14,DC001,SKU001,2.0,2.0,0.0,1.0666666666666667,2.7920522121829237,0.0,32.0,0.64,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-14,DC001,SKU002,4.0,4.0,1.4285714285714286,3.033333333333333,7.134345722551498,10.0,91.0,7.64,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,72.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-14,DC001,SKU005,1.0,1.0,17.714285714285715,15.166666666666666,22.448583226762633,124.0,455.0,16.95,10.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,144.0,1,4,144.0,0.0,0.0,-0.0,3.36,336.0,224.0,4.0,144.0
2019-01-18,DC001,SKU001,2.0,2.0,0.0,0.7666666666666667,2.376037784959564,0.0,23.0,0.46,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-18,DC001,SKU002,1.0,1.0,0.0,3.033333333333333,7.134345722551497,0.0,91.0,0.9099999999999999,0.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,72.0,0.0,3.36,336.0,224.0,1.0,52.0
2019-01-18,DC001,SKU005,5.0,5.0,6.571428571428571,13.1,19.821453024437943,46.0,393.0,42.65,123.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,134.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-21,DC001,SKU001,3.0,3.0,0.0,0.7666666666666667,2.3760377849595637,0.0,23.0,0.6900000000000001,26.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,104.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-21,DC001,SKU002,3.0,3.0,0.0,2.6,6.907001278895687,0.0,78.0,2.34,88.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,52.0,1,1,52.0,0.0,124.0,0.0,3.36,336.0,224.0,1.0,52.0
2019-01-21,DC001,SKU005,4.0,4.0,1.4285714285714286,9.966666666666667,18.488705260840263,10.0,299.0,15.959999999999999,10.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,108.0,1,3,108.0,0.0,16.0,0.0,3.36,336.0,224.0,3.0,108.0
2019-01-25,DC001,SKU001,3.0,3.0,3.7142857142857144,1.6333333333333333,3.987341080079417,26.0,49.0,9.27,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-25,DC001,SKU002,6.0,6.0,12.571428571428571,5.2,16.799603169916445,88.0,156.0,62.16,74.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-25,DC001,SKU005,5.0,5.0,17.571428571428573,13.733333333333333,26.724437422620436,123.0,412.0,82.10000000000001,108.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,144.0,1,4,144.0,108.0,114.0,0.0,3.36,336.0,224.0,4.0,144.0
2019-01-28,DC001,SKU001,1.0,1.0,3.7142857142857144,1.3333333333333333,3.7535168694024654,26.0,40.0,3.0,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-28,DC001,SKU002,3.0,3.0,14.0,5.433333333333334,16.816030711463657,98.0,163.0,34.29,74.0,rolling_proxy,127.0,181978.71,0.0,224.0,52.0,0.96,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-01-28,DC001,SKU005,5.0,5.0,18.285714285714285,11.5,24.465962751000284,128.0,345.0,81.25,128.0,rolling_proxy,127.0,181978.71,12744.0,224.0,36.0,1.0,159000.0,161000.0,0.0,1,0,0.0,0.0,6.0,0.0,3.36,336.0,224.0,0.0,0.0
2019-02-01,DC001,SKU001,5.0,5.0,0.0,1.0333333333333334,3.4783457115256518,0.0,31.0,1.55,0.0,rolling_proxy,109.0,181978.71,1020.0,224.0,80.0,0.852,159000.0,161000.0,0.0,1,0,0.0,0.0,78.0,0.0,3.36,336.0,224.0,0.0,0.0
