dc_id,sku_id,date,leadtime,sales_qty,is_order_day,initial_inventory,arrival_qty_box,ending_inventory_box,stockout_qty_box,optimal_replenishment_pallet,optimal_replenishment_box,pt_box,factory_id,unit_transport_cost,holding_cost,stockout_cost
DC001,SKU001,2019-01-01,6,0.0,0,109.0,0.0,109.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-02,2,0.0,0,109.0,0.0,109.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-03,1,5.0,0,109.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-04,4,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-05,3,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-06,2,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-07,1,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-08,3,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-09,3,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-10,1,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-11,6,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-12,5,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-13,6,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-14,2,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-15,2,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-16,6,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-17,4,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-18,2,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-19,4,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-20,5,0.0,0,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-21,3,0.0,1,104.0,0.0,104.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-22,3,17.0,0,104.0,0.0,87.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-23,4,9.0,0,87.0,0.0,78.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-24,4,0.0,0,78.0,0.0,78.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-25,3,0.0,1,78.0,0.0,78.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
DC001,SKU001,2019-01-26,4,0.0,0,78.0,0.0,78.0,0.0,0,0.0,80.0,F001,224.0,3.36,336.0
