date,dc_id,sku_id,leadtime_actual,vlt_pred,recent_mean_7,recent_mean_30,recent_std_30,recent_sum_7,recent_sum_30,demand_forecast_sum,future_demand_sum,current_inv,dc_capacity,factory_inv,transport_cost,pt_box,box_volume,push_lb,push_ub,target_replenishment
2019-01-01,DC001,SKU052,1.0,1.0,1.4285714285714286,3.0,7.478859093025709,10.0,90.0,1.9,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-02,DC001,SKU052,3.0,3.0,1.4285714285714286,3.0,7.478859093025709,10.0,90.0,5.699999999999999,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-03,DC001,SKU052,6.0,6.0,0.8571428571428571,2.8666666666666667,7.495480119526853,6.0,86.0,8.76,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-04,DC001,SKU052,1.0,1.0,1.4285714285714286,2.6666666666666665,7.381658952355418,10.0,80.0,1.7999999999999998,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-05,DC001,SKU052,6.0,6.0,1.4285714285714286,2.4,7.328483244619357,10.0,72.0,10.32,50.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-06,DC001,SKU052,2.0,2.0,1.4285714285714286,2.4,7.328483244619357,10.0,72.0,3.44,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-07,DC001,SKU052,1.0,1.0,1.4285714285714286,2.4,7.328483244619357,10.0,72.0,1.72,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-08,DC001,SKU052,3.0,3.0,0.5714285714285714,2.4,7.328483244619357,4.0,72.0,3.3599999999999994,50.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-09,DC001,SKU052,4.0,4.0,0.5714285714285714,2.4,7.328483244619357,4.0,72.0,4.4799999999999995,42.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-10,DC001,SKU052,3.0,3.0,1.7142857142857142,1.3333333333333333,2.547329756605706,12.0,40.0,4.8,2.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-11,DC001,SKU052,4.0,4.0,6.857142857142857,2.466666666666667,7.369908788821986,48.0,74.0,22.16,10.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-12,DC001,SKU052,2.0,2.0,7.142857142857143,2.533333333333333,7.356327586204652,50.0,76.0,11.52,6.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-13,DC001,SKU052,2.0,2.0,7.142857142857143,2.533333333333333,7.356327586204652,50.0,76.0,11.52,10.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-14,DC001,SKU052,2.0,2.0,7.142857142857143,2.4,7.3647810558087885,50.0,72.0,11.44,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-15,DC001,SKU052,2.0,3.0785739421844482,8.0,2.6,7.378346698278686,56.0,78.0,19.14,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-16,DC001,SKU052,1.0,3.0849084854125977,8.571428571428571,2.7333333333333334,7.36628958310914,60.0,82.0,20.459999999999997,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-17,DC001,SKU052,1.0,3.087332248687744,8.0,2.8666666666666667,7.351794943337913,56.0,86.0,19.38,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-18,DC001,SKU052,3.0,3.086205244064331,2.2857142857142856,2.8666666666666667,7.351794943337913,16.0,86.0,7.38,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-19,DC001,SKU052,4.0,3.081289291381836,2.5714285714285716,3.0,7.334848328356899,18.0,90.0,8.100000000000001,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-20,DC001,SKU052,3.0,3.073625087738037,2.5714285714285716,3.0,7.334848328356899,18.0,90.0,8.100000000000001,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-21,DC001,SKU052,2.0,3.0688390731811523,2.5714285714285716,2.7333333333333334,7.293528333773413,18.0,82.0,7.86,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-22,DC001,SKU052,5.0,3.07824969291687,2.857142857142857,3.0,7.334848328356899,20.0,90.0,8.7,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-23,DC001,SKU052,3.0,3.0823745727539062,2.2857142857142856,3.0,7.334848328356899,16.0,90.0,7.5,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-24,DC001,SKU052,3.0,3.084083080291748,1.7142857142857142,3.0,7.334848328356899,12.0,90.0,6.299999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-25,DC001,SKU052,4.0,3.0826025009155273,2.2857142857142856,3.1333333333333333,7.315432697766795,16.0,94.0,7.62,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-26,DC001,SKU052,1.0,3.0784077644348145,1.7142857142857142,3.0,7.334848328356899,12.0,90.0,6.299999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-27,DC001,SKU052,6.0,3.074282169342041,1.7142857142857142,3.0,7.334848328356899,12.0,90.0,6.299999999999999,14.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-28,DC001,SKU052,3.0,3.0675032138824463,1.7142857142857142,3.0,7.334848328356899,12.0,90.0,6.299999999999999,10.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-29,DC001,SKU052,6.0,3.0764312744140625,0.5714285714285714,3.0,7.334848328356899,4.0,90.0,3.8999999999999995,14.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-30,DC001,SKU052,1.0,3.080609083175659,0.5714285714285714,3.0,7.334848328356899,4.0,90.0,3.8999999999999995,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-01-31,DC001,SKU052,2.0,3.0840208530426025,1.4285714285714286,3.0,7.334848328356899,10.0,90.0,5.699999999999999,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-01,DC001,SKU052,3.0,3.083513021469116,1.4285714285714286,3.1333333333333333,7.315432697766796,10.0,94.0,5.82,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-02,DC001,SKU052,3.0,3.0775153636932373,2.0,3.2666666666666666,7.29352833377341,14.0,98.0,7.14,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-03,DC001,SKU052,3.0,3.0699079036712646,2.0,3.1333333333333333,7.315432697766796,14.0,94.0,7.02,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-04,DC001,SKU052,5.0,3.0642309188842773,2.0,3.1333333333333333,7.315432697766796,14.0,94.0,7.02,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-05,DC001,SKU052,2.0,3.0708861351013184,2.0,3.1333333333333333,7.315432697766796,14.0,94.0,7.02,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-06,DC001,SKU052,2.0,3.077363967895508,2.0,3.1333333333333333,7.315432697766796,14.0,94.0,7.02,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-07,DC001,SKU052,3.0,3.079338550567627,1.1428571428571428,3.1333333333333333,7.315432697766796,8.0,94.0,5.219999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-08,DC001,SKU052,6.0,3.077120542526245,1.1428571428571428,3.2666666666666666,7.293528333773409,8.0,98.0,5.34,12.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-09,DC001,SKU052,3.0,3.071110486984253,0.5714285714285714,3.0,7.261772051870902,4.0,90.0,3.8999999999999995,12.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-10,DC001,SKU052,2.0,3.0654821395874023,0.5714285714285714,1.6666666666666667,2.371122565837165,4.0,50.0,2.6999999999999997,12.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-11,DC001,SKU052,1.0,3.0621795654296875,0.5714285714285714,1.6,2.3888630489558556,4.0,48.0,2.6399999999999997,10.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-12,DC001,SKU052,2.0,3.073098659515381,0.8571428571428571,1.6666666666666667,2.371122565837165,6.0,50.0,3.3000000000000003,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-13,DC001,SKU052,2.0,3.0790445804595947,2.2857142857142856,2.0,2.780887148615228,16.0,60.0,6.6,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-14,DC001,SKU052,3.0,3.0801961421966553,2.2857142857142856,1.8,2.7006172134038793,16.0,54.0,6.419999999999999,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-15,DC001,SKU052,3.0,3.0775306224823,1.7142857142857142,1.6666666666666667,2.6874192494328493,12.0,50.0,5.1,40.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-16,DC001,SKU052,3.0,3.073418140411377,1.7142857142857142,1.5333333333333334,2.667499869832341,12.0,46.0,4.9799999999999995,40.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-17,DC001,SKU052,2.0,3.067390203475952,1.7142857142857142,1.5333333333333334,2.667499869832341,12.0,46.0,4.9799999999999995,40.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-18,DC001,SKU052,5.0,3.0635201930999756,1.7142857142857142,1.4,2.6407069760451143,12.0,42.0,4.859999999999999,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-19,DC001,SKU052,3.0,3.0707039833068848,7.142857142857143,2.7333333333333334,7.402402012560217,50.0,82.0,17.46,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-20,DC001,SKU052,1.0,3.076512098312378,5.714285714285714,2.7333333333333334,7.402402012560217,40.0,82.0,14.46,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-21,DC001,SKU052,2.0,3.079484224319458,5.714285714285714,2.466666666666667,7.351794943337912,40.0,74.0,14.22,0.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-22,DC001,SKU052,4.0,3.078094244003296,6.857142857142857,2.7333333333333334,7.402402012560218,48.0,82.0,16.86,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-23,DC001,SKU052,4.0,3.0731418132781982,6.857142857142857,2.7333333333333334,7.402402012560218,48.0,82.0,16.86,8.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-24,DC001,SKU052,2.0,3.066258668899536,6.857142857142857,2.6,7.4144004028197275,48.0,78.0,16.740000000000002,4.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
2019-02-25,DC001,SKU052,3.0,3.062593460083008,6.857142857142857,2.6,7.4144004028197275,48.0,78.0,16.740000000000002,12.0,68.0,181978.71,0.0,224.0,40.0,2.0,159000.0,161000.0,0.0
