dc_id,sku_id,factory_id,unit_transport_cost,holding_cost,stockout_cost,objective,transport_cost,holding_cost_total,stockout_cost_total,total_cost_check
DC001,SKU001,F001,224.0,3.36,336.0,20855.52,0.0,20855.52,0.0,20855.52
DC001,SKU002,F001,224.0,3.36,336.0,63385.27999999977,46592.0,9737.279999999999,7056.0,63385.28
DC001,SKU005,F001,224.0,3.36,336.0,300810.7199999742,282240.0,17226.72,1344.0,300810.72
DC001,SKU006,F001,224.0,3.36,336.0,1785946.399999976,1709120.0,72794.4,4032.0,1785946.4
DC001,SKU008,F001,224.0,3.36,336.0,509729.91999999806,454720.0,15025.92,39984.0,509729.92
DC001,SKU009,F001,224.0,3.36,336.0,506875.0400000045,465920.0,23147.04,17808.0,506875.04
DC001,SKU011,F001,224.0,3.36,336.0,1412442.0799999852,1366400.0,39658.08,6384.0,1412442.08
DC001,SKU012,F001,224.0,3.36,336.0,372410.07999999955,320320.0,19498.079999999998,32592.0,372410.08
DC001,SKU013,F001,224.0,3.36,336.0,264154.24,209440.0,13050.24,41664.0,264154.24
DC001,SKU015,F001,224.0,3.36,336.0,530503.68,505344.0,19783.68,5376.0,530503.68
DC001,SKU016,F001,224.0,3.36,336.0,1397182.0799999991,1279488.0,103918.08,13776.0,1397182.08
DC001,SKU017,F001,224.0,3.36,336.0,46562.87999999987,37632.0,4562.88,4368.0,46562.88
DC001,SKU019,F001,224.0,3.36,336.0,27664029.12,26841024.0,821325.12,1680.0,27664029.12
DC001,SKU022,F001,224.0,3.36,336.0,29118095.999999996,27909504.0,830928.0,377664.0,29118096.0
DC001,SKU023,F001,224.0,3.36,336.0,83154197.28,80446464.0,2693285.28,14448.0,83154197.28
DC001,SKU024,F001,224.0,3.36,336.0,775205.7599999959,678720.0,19205.76,77280.0,775205.76
DC001,SKU025,F001,224.0,3.36,336.0,12544143.360000001,12122880.0,315423.36,105840.0,12544143.36
DC001,SKU026,F001,224.0,3.36,336.0,331655.51999999984,295680.0,13463.519999999999,22512.0,331655.52
DC001,SKU027,F001,224.0,3.36,336.0,84087.35999999978,75264.0,7143.36,1680.0,84087.36
DC001,SKU029,F001,224.0,3.36,336.0,16862619.2,15905792.0,945067.2,11760.0,16862619.2
DC001,SKU030,F001,224.0,3.36,336.0,0.0,0.0,0.0,0.0,0.0
DC001,SKU031,F001,224.0,3.36,336.0,0.0,0.0,0.0,0.0,0.0
DC001,SKU032,F001,224.0,3.36,336.0,3552195.36,3405696.0,146499.36,0.0,3552195.36
DC001,SKU034,F001,224.0,3.36,336.0,1481608.8,1430016.0,45544.799999999996,6048.0,1481608.8
DC001,SKU036,F001,224.0,3.36,336.0,1927504.3199072655,1881600.0,45904.32,0.0,1927504.32
DC001,SKU038,F001,224.0,3.36,336.0,107147.03999999975,84672.0,11723.039999999999,10752.0,107147.04
DC001,SKU039,F001,224.0,3.36,336.0,861661.92,780864.0,79453.92,1344.0,861661.92
DC001,SKU041,F001,224.0,3.36,336.0,292447.679999999,258048.0,29695.68,4704.0,292447.68
DC001,SKU042,F001,224.0,3.36,336.0,0.0,0.0,0.0,0.0,0.0
DC001,SKU045,F001,224.0,3.36,336.0,31220073.92,29872640.0,1339033.92,8400.0,31220073.92
DC001,SKU046,F001,224.0,3.36,336.0,35839224.96,32497920.0,822648.96,2518656.0,35839224.96
DC001,SKU047,F001,224.0,3.36,336.0,3645205.7600000002,3226496.0,92789.76,325920.0,3645205.76
DC001,SKU050,F001,224.0,3.36,336.0,155909.59999999995,137984.0,9525.6,8400.0,155909.6
DC001,SKU052,F001,224.0,3.36,336.0,58508.799999999435,44800.0,5644.8,8064.0,58508.8
DC001,SKU053,F001,224.0,3.36,336.0,324810.08,304640.0,12778.08,7392.0,324810.08
DC001,SKU054,F001,224.0,3.36,336.0,240391.19999999998,0.0,240391.19999999998,0.0,240391.19999999998
DC001,SKU055,F001,224.0,3.36,336.0,135964.6399999998,123200.0,10412.64,2352.0,135964.64
DC001,SKU056,F001,224.0,3.36,336.0,501122.71991390554,465920.0,35202.72,0.0,501122.72
DC001,SKU057,F001,224.0,3.36,336.0,15401.119999999999,11648.0,2409.12,1344.0,15401.119999999999
DC001,SKU058,F001,224.0,3.36,336.0,265621.44,233856.0,7909.44,23856.0,265621.44
DC001,SKU060,F001,224.0,3.36,336.0,80922.24,53760.0,18426.239999999998,8736.0,80922.23999999999
DC001,SKU062,F001,224.0,3.36,336.0,13716018.4,13350400.0,360578.39999999997,5040.0,13716018.4
DC001,SKU063,F001,224.0,3.36,336.0,993724.4800000001,884800.0,20892.48,88032.0,993724.48
DC001,SKU068,F001,224.0,3.36,336.0,2255149.12,2168320.0,85485.12,1344.0,2255149.12
DC001,SKU069,F001,224.0,3.36,336.0,5009459.839999994,4868864.0,129171.84,11424.0,5009459.84
DC001,SKU070,F001,224.0,3.36,336.0,177424.79999999708,139776.0,9424.8,28224.0,177424.8
DC001,SKU071,F001,224.0,3.36,336.0,51686.87999999992,33600.0,3638.8799999999997,14448.0,51686.88
DC002,SKU001,F001,198.0,2.97,297.0,7977.42,0.0,3819.42,4158.0,7977.42
DC002,SKU002,F001,198.0,2.97,297.0,280157.1299999999,216216.0,9293.130000000001,54648.0,280157.13
DC002,SKU005,F001,198.0,2.97,297.0,788214.2399999961,741312.0,22548.24,24354.0,788214.24
DC002,SKU006,F001,198.0,2.97,297.0,5643429.66,5502420.0,138633.66,2376.0,5643429.66
DC002,SKU008,F001,198.0,2.97,297.0,2858313.15,2702700.0,147594.15000000002,8019.0,2858313.15
DC002,SKU009,F001,198.0,2.97,297.0,3966892.37999998,3849120.0,107080.38,10692.0,3966892.38
DC002,SKU011,F001,198.0,2.97,297.0,3012752.1599999946,2811600.0,70472.16,130680.0,3012752.16
DC002,SKU012,F001,198.0,2.97,297.0,2578819.3200000003,2290860.0,68773.32,219186.0,2578819.32
DC002,SKU013,F001,198.0,2.97,297.0,401399.45999999996,296208.0,17279.460000000003,87912.0,401399.46
DC002,SKU014,F001,198.0,2.97,297.0,2865887.64,2700720.0,148238.64,16929.0,2865887.64
DC002,SKU015,F001,198.0,2.97,297.0,7514266.319999999,7289568.0,220243.32,4455.0,7514266.32
DC002,SKU016,F001,198.0,2.97,297.0,1410482.7,1330560.0,67745.70000000001,12177.0,1410482.7
DC002,SKU017,F001,198.0,2.97,297.0,198327.68999999994,174636.0,7950.6900000000005,15741.0,198327.69
DC002,SKU019,F001,198.0,2.97,297.0,54772992.45,53064396.0,1705626.4500000002,2970.0,54772992.45
DC002,SKU022,F001,198.0,2.97,297.0,118729444.68,109685664.0,2535916.68,6507864.0,118729444.68
DC002,SKU023,F001,198.0,2.97,297.0,244308181.59,216627048.0,5617003.590000001,22064130.0,244308181.59
DC002,SKU024,F001,198.0,2.97,297.0,1195909.1099999999,1092960.0,31669.11,71280.0,1195909.11
DC002,SKU025,F001,198.0,2.97,297.0,25554797.72999994,23569920.0,662336.7300000001,1322541.0,25554797.73
DC002,SKU026,F001,198.0,2.97,297.0,3897789.39,3575880.0,101238.39,220671.0,3897789.39
DC002,SKU027,F001,198.0,2.97,297.0,17588.34,8316.0,3926.34,5346.0,17588.34
DC002,SKU029,F001,198.0,2.97,297.0,29386534.319999997,28340928.0,1030459.3200000001,15147.0,29386534.32
DC002,SKU030,F001,198.0,2.97,297.0,529767.809999992,503712.0,19224.81,6831.0,529767.81
DC002,SKU031,F001,198.0,2.97,297.0,6327338.48999999,6082560.0,230225.49000000002,14553.0,6327338.49
DC002,SKU032,F001,198.0,2.97,297.0,5178925.619999996,4873176.0,135568.62,170181.0,5178925.62
DC002,SKU034,F001,198.0,2.97,297.0,2156101.199999994,2090880.0,54529.200000000004,10692.0,2156101.2
DC002,SKU036,F001,198.0,2.97,297.0,6564466.259999999,6367680.0,182530.26,14256.0,6564466.26
DC002,SKU038,F001,198.0,2.97,297.0,52491.780000000006,0.0,47739.780000000006,4752.0,52491.780000000006
DC002,SKU039,F001,198.0,2.97,297.0,3787299.4500000137,3600828.0,177858.45,8613.0,3787299.45
DC002,SKU041,F001,198.0,2.97,297.0,933922.4399999978,893376.0,39952.44,594.0,933922.44
DC002,SKU042,F001,198.0,2.97,297.0,152871.83999999985,133056.0,8529.84,11286.0,152871.84
DC002,SKU045,F001,198.0,2.97,297.0,105472255.68000057,102453120.0,3014977.68,4158.0,105472255.68
DC002,SKU046,F001,198.0,2.97,297.0,60201886.13999994,55989648.0,1253821.1400000001,2958417.0,60201886.14
DC002,SKU047,F001,198.0,2.97,297.0,16735399.56,16226496.0,499399.56000000006,9504.0,16735399.56
DC002,SKU048,F001,198.0,2.97,297.0,67368.51000000001,0.0,67368.51000000001,0.0,67368.51000000001
DC002,SKU049,F001,198.0,2.97,297.0,31574.07,0.0,31574.070000000003,0.0,31574.070000000003
DC002,SKU050,F001,198.0,2.97,297.0,426327.66,388080.0,31416.660000000003,6831.0,426327.66000000003
DC002,SKU052,F001,198.0,2.97,297.0,1004356.9799999996,966240.0,30097.980000000003,8019.0,1004356.98
DC002,SKU053,F001,198.0,2.97,297.0,1359844.2000000002,1188000.0,36115.200000000004,135729.0,1359844.2
DC002,SKU054,F001,198.0,2.97,297.0,244922.04,77616.0,165821.04,1485.0,244922.04
DC002,SKU055,F001,198.0,2.97,297.0,495166.31999999966,435600.0,15313.320000000002,44253.0,495166.32
DC002,SKU056,F001,198.0,2.97,297.0,1689947.8199999833,1637064.0,52883.82000000001,0.0,1689947.82
DC002,SKU057,F001,198.0,2.97,297.0,536066.19,504504.0,22058.190000000002,9504.0,536066.19
DC002,SKU058,F001,198.0,2.97,297.0,8563525.74,8204328.0,227329.74000000002,131868.0,8563525.74
DC002,SKU060,F001,198.0,2.97,297.0,555760.2600000002,506880.0,18289.260000000002,30591.0,555760.26
DC002,SKU062,F001,198.0,2.97,297.0,22944328.11,22215600.0,710908.1100000001,17820.0,22944328.11
DC002,SKU063,F001,198.0,2.97,297.0,5750253.629999999,5593500.0,154080.63,2673.0,5750253.63
DC002,SKU068,F001,198.0,2.97,297.0,6139020.689999983,5860800.0,160014.69,118206.0,6139020.69
DC002,SKU069,F001,198.0,2.97,297.0,8938156.589999653,8638344.0,288229.59,11583.0,8938156.59
DC002,SKU070,F001,198.0,2.97,297.0,2660703.2100000014,2574000.0,81951.21,4752.0,2660703.21
DC002,SKU071,F001,198.0,2.97,297.0,1170152.279999995,1029600.0,31553.280000000002,108999.0,1170152.28
DC003,SKU001,F001,196.0,2.94,294.0,0.0,0.0,0.0,0.0,0.0
DC003,SKU002,F001,196.0,2.94,294.0,83215.71999999997,71344.0,3051.72,8820.0,83215.72
DC003,SKU005,F001,196.0,2.94,294.0,116538.66,105840.0,5994.66,4704.0,116538.66
DC003,SKU006,F001,196.0,2.94,294.0,817108.3200000001,740880.0,73582.31999999999,2646.0,817108.32
DC003,SKU007,F001,196.0,2.94,294.0,0.0,0.0,0.0,0.0,0.0
DC003,SKU008,F001,196.0,2.94,294.0,8050706.86,7792960.0,255100.86,2646.0,8050706.86
DC003,SKU009,F001,196.0,2.94,294.0,5623407.58,5440960.0,177155.58,5292.0,5623407.58
DC003,SKU011,F001,196.0,2.94,294.0,339248.56000000006,313600.0,20356.56,5292.0,339248.56
DC003,SKU012,F001,196.0,2.94,294.0,1180513.8800000001,1121120.0,37637.88,21756.0,1180513.88
DC003,SKU015,F001,196.0,2.94,294.0,169308.71999999997,159936.0,8784.72,588.0,169308.72
DC003,SKU016,F001,196.0,2.94,294.0,809945.4999999997,746368.0,62107.5,1470.0,809945.5
DC003,SKU017,F001,196.0,2.94,294.0,293.9999995614035,0.0,0.0,294.0,294.0
DC003,SKU019,F001,196.0,2.94,294.0,10758377.279999996,10421712.0,327257.27999999997,9408.0,10758377.28
DC003,SKU022,F001,196.0,2.94,294.0,16067341.079999998,15530256.0,531205.08,5880.0,16067341.08
DC003,SKU023,F001,196.0,2.94,294.0,34360100.46,32775120.0,1573808.46,11172.0,34360100.46
DC003,SKU024,F001,196.0,2.94,294.0,146973.53999999946,135240.0,7617.54,4116.0,146973.54
DC003,SKU025,F001,196.0,2.94,294.0,4526094.7199999895,4374720.0,140496.72,10878.0,4526094.72
DC003,SKU026,F001,196.0,2.94,294.0,4246224.359999995,4116000.0,115818.36,14406.0,4246224.36
DC003,SKU027,F001,196.0,2.94,294.0,132438.17999999976,115248.0,6900.18,10290.0,132438.18
DC003,SKU029,F001,196.0,2.94,294.0,14350649.6,13511456.0,839193.6,0.0,14350649.6
DC003,SKU030,F001,196.0,2.94,294.0,1219288.56,1185408.0,32410.559999999998,1470.0,1219288.56
DC003,SKU031,F001,196.0,2.94,294.0,384116.88,0.0,384116.88,0.0,384116.88
DC003,SKU032,F001,196.0,2.94,294.0,899454.78,856128.0,36858.78,6468.0,899454.78
DC003,SKU033,F001,196.0,2.94,294.0,15349.739999999998,8232.0,2413.74,4704.0,15349.74
DC003,SKU034,F001,196.0,2.94,294.0,729552.1799251442,686784.0,42768.18,0.0,729552.18
DC003,SKU036,F001,196.0,2.94,294.0,588628.1799999998,548800.0,21306.18,18522.0,588628.18
DC003,SKU039,F001,196.0,2.94,294.0,550159.2599999999,510384.0,30661.26,9114.0,550159.26
DC003,SKU041,F001,196.0,2.94,294.0,119637.42,103488.0,15855.42,294.0,119637.42
DC003,SKU042,F001,196.0,2.94,294.0,347187.5399999992,301056.0,14379.539999999999,31752.0,347187.54
DC003,SKU045,F001,196.0,2.94,294.0,32980387.86,30999360.0,1976029.8599999999,4998.0,32980387.86
DC003,SKU046,F001,196.0,2.94,294.0,21180227.46,19201728.0,525257.46,1453242.0,21180227.46
DC003,SKU047,F001,196.0,2.94,294.0,18970524.439999994,18243680.0,726256.44,588.0,18970524.44
DC003,SKU048,F001,196.0,2.94,294.0,58611.84,0.0,58611.84,0.0,58611.84
DC003,SKU049,F001,196.0,2.94,294.0,59205.72,0.0,59205.72,0.0,59205.72
DC003,SKU050,F001,196.0,2.94,294.0,14203.1399991228,0.0,11851.14,2352.0,14203.14
DC003,SKU052,F001,196.0,2.94,294.0,10995.6,0.0,999.6,9996.0,10995.6
DC003,SKU053,F001,196.0,2.94,294.0,538723.6399999992,439040.0,19127.64,80556.0,538723.64
DC003,SKU054,F001,196.0,2.94,294.0,333413.64,0.0,333413.64,0.0,333413.64
DC003,SKU055,F001,196.0,2.94,294.0,35862.119999999995,29400.0,1758.12,4704.0,35862.119999999995
DC003,SKU056,F001,196.0,2.94,294.0,146591.34,91728.0,44867.34,9996.0,146591.34
