factory_id,sku_id,available_inv
F001,SKU001,1020
F001,SKU002,0
F001,SKU003,0
F001,SKU004,0
F001,SKU005,12744
F001,SKU006,28222
F001,SKU007,4117
F001,SKU008,84
F001,SKU009,0
F001,SKU010,0
F001,SKU011,1699
F001,SKU012,0
F001,SKU013,0
F001,SKU014,0
F001,SKU015,0
F001,SKU016,6650
F001,SKU017,27
F001,SKU018,0
F001,SKU019,7942
F001,SKU020,10540
F001,SKU021,22928
F001,SKU022,3196
F001,SKU023,127214
F001,SKU024,0
F001,SKU025,0
F001,SKU026,0
F001,SKU027,2971
F001,SKU028,0
F001,SKU029,74536
F001,SKU030,3007
F001,SKU031,0
F001,SKU032,46430
F001,SKU033,19200
F001,SKU034,5467
F001,SKU035,5402
F001,SKU036,11044
F001,SKU037,5732
F001,SKU038,14004
F001,SKU039,0
F001,SKU040,0
F001,SKU041,0
F001,SKU042,0
F001,SKU043,0
F001,SKU044,13681
F001,SKU045,69572
F001,SKU046,42488
F001,SKU047,373
F001,SKU048,12933
F001,SKU049,2
F001,SKU050,47
F001,SKU051,0
F001,SKU052,0
F001,SKU053,0
F001,SKU054,6780
F001,SKU055,875
F001,SKU056,7
F001,SKU057,3
F001,SKU058,8040
F001,SKU059,0
F001,SKU060,10540
F001,SKU061,0
F001,SKU062,36247
F001,SKU063,5824
F001,SKU064,0
F001,SKU065,0
F001,SKU066,0
F001,SKU067,0
F001,SKU068,10952
F001,SKU069,13557
F001,SKU070,6908
F001,SKU071,3558
F001,SKU072,0
F002,SKU001,0
F002,SKU002,0
F002,SKU003,840
F002,SKU004,0
F002,SKU005,23
F002,SKU006,0
F002,SKU007,0
F002,SKU008,0
F002,SKU009,0
F002,SKU010,10258
F002,SKU011,0
F002,SKU012,0
F002,SKU013,0
F002,SKU014,0
F002,SKU015,0
F002,SKU016,0
F002,SKU017,29
F002,SKU018,415
F002,SKU019,882
F002,SKU020,0
F002,SKU021,0
F002,SKU022,0
F002,SKU023,72609
F002,SKU024,0
F002,SKU025,0
F002,SKU026,0
F002,SKU027,0
F002,SKU028,0
F002,SKU029,76871
F002,SKU030,0
F002,SKU031,0
F002,SKU032,0
F002,SKU033,0
F002,SKU034,0
F002,SKU035,0
F002,SKU036,0
F002,SKU037,0
F002,SKU038,0
F002,SKU039,16335
F002,SKU040,8323
F002,SKU041,1089
F002,SKU042,7
F002,SKU043,1160
F002,SKU044,0
F002,SKU045,66839
F002,SKU046,0
F002,SKU047,0
F002,SKU048,0
F002,SKU049,0
F002,SKU050,0
F002,SKU051,542
F002,SKU052,629
F002,SKU053,0
F002,SKU054,0
F002,SKU055,0
F002,SKU056,0
F002,SKU057,0
F002,SKU058,0
F002,SKU059,5500
F002,SKU060,0
F002,SKU061,884
F002,SKU062,0
F002,SKU063,0
F002,SKU064,0
F002,SKU065,924
F002,SKU066,11478
F002,SKU067,4012
F002,SKU068,0
F002,SKU069,0
F002,SKU070,0
F002,SKU071,0
F002,SKU072,8451
