factory_id,dc_id,unit_cost
F001,DC001,224
F001,DC002,198
F001,DC003,196
F001,DC004,170
F001,DC005,170
F001,DC006,212
F001,DC007,169
F001,DC008,344
F001,DC009,283
F001,DC010,518
F001,DC011,458
F001,DC012,1452
F001,DC013,499
F001,DC014,438
F001,DC015,443
F001,DC016,396
F001,DC017,260
F001,DC018,248
F002,DC001,444
F002,DC002,434
F002,DC003,356
F002,DC004,428
F002,DC005,418
F002,DC006,399
F002,DC007,439
F002,DC008,477
F002,DC009,463
F002,DC010,390
F002,DC011,397
F002,DC012,875
F002,DC013,343
F002,DC014,268
F002,DC015,361
F002,DC016,378
F002,DC017,282
F002,DC018,310
