sku_id,pt_box,box_volume
SKU001,80,0.852
SKU002,52,0.96
SKU003,56,1.2
SKU004,56,1.2
SKU005,36,1
SKU006,70,0.6
SKU007,36,1
SKU008,70,0.6
SKU009,80,0.852
SKU010,48,0.792
SKU011,50,1.2
SKU012,130,0.5
SKU013,187,0.426
SKU014,110,0.71
SKU015,48,2
SKU016,56,1.2
SKU017,42,0.99
SKU018,80,0.852
SKU019,42,0.99
SKU020,80,0.852
SKU021,56,1.2
SKU022,36,2
SKU023,36,1
SKU024,30,1.28
SKU025,60,0.768
SKU026,60,0.768
SKU027,42,0.99
SKU028,130,0.5
SKU029,56,1.2
SKU030,48,0.792
SKU031,80,0.852
SKU032,42,0.99
SKU033,42,0.99
SKU034,48,0.792
SKU035,160,0.426
SKU036,80,0.852
SKU037,80,0.852
SKU038,42,0.99
SKU039,42,0.99
SKU040,42,0.99
SKU041,48,0.792
SKU042,48,0.792
SKU043,48,0.792
SKU044,52,0.96
SKU045,80,0.852
SKU046,52,0.96
SKU047,52,0.96
SKU048,36,1
SKU049,70,0.6
SKU050,56,0.768
SKU051,80,0.852
SKU052,40,2
SKU053,80,0.852
SKU054,56,1.2
SKU055,50,1.2
SKU056,52,0.96
SKU057,52,0.96
SKU058,36,2
SKU059,40,2
SKU060,80,0.852
SKU061,56,1.2
SKU062,50,1.2
SKU063,50,1.2
SKU064,48,0.792
SKU065,48,0.792
SKU066,80,0.792
SKU067,80,0.852
SKU068,80,0.852
SKU069,52,0.96
SKU070,52,0.96
SKU071,50,1.2
SKU072,56,1.2
